,Rank (Borda),Model,Zero-shot,Memory Usage (MB),Number of Parameters,Embedding Dimensions,Max Tokens,Mean (Task),Mean (TaskType),Classification,Clustering,Pair Classification,Reranking,Retrieval,STS,Summarization
149,150,[LLM2Vec-Meta-Llama-3-8B-Instruct-mntp-unsup-simcse](https://huggingface.co/McGill-NLP/LLM2Vec-Meta-Llama-3-8B-Instruct-mntp-unsup-simcse),100%,28629,7B,4096,8192,,,76.72,,78.01,43.63,,,
150,151,[LLM2Vec-Llama-2-7b-chat-hf-mntp-unsup-simcse](https://huggingface.co/McGill-NLP/LLM2Vec-Llama-2-7b-chat-hf-mntp-unsup-simcse),100%,27126,7B,4096,32768,,,76.7,,77.89,43.21,,,
151,152,[cai-lunaris-text-embeddings](https://huggingface.co/consciousAI/cai-lunaris-text-embeddings),⚠️ NA,Unknown,Unknown,1024,512,49.5,48.05,61.29,39.03,75.8,40.99,26,70.57,22.65
152,153,[M2V_base_glove_subword](https://huggingface.co/minishlab/M2V_base_glove_subword),100%,391,103M,256,Infinite,49.8,48.92,66.87,36.78,74.71,40.69,25.41,69.38,28.62
153,154,[USER-base](https://huggingface.co/deepvk/USER-base),100%,473,427M,768,512,48.85,48.53,62.82,34.14,75.53,39.15,24.32,71.91,31.84
154,155,[gtr-t5-base](https://huggingface.co/sentence-transformers/gtr-t5-base),100%,209,110M,768,512,,,64.76,,83.85,46.1,,,
155,156,[potion-base-2M](https://huggingface.co/minishlab/potion-base-2M),100%,7,2M,64,Infinite,48.71,47.49,64.13,37.53,73.72,40.46,22.99,69.77,23.8
156,157,[gemma-2b-embeddings](https://huggingface.co/Jaume/gemma-2b-embeddings),100%,9560,2B,2048,8192,37.72,36.18,60.7,42.42,53.62,37.34,7.88,44.48,6.79
157,158,[M2V_base_output](https://huggingface.co/minishlab/M2V_base_output),100%,29,7M,256,Infinite,48.99,47.96,66.84,33.96,74.9,39.31,25.36,68.76,26.61
158,159,[rubert-tiny-turbo](https://huggingface.co/sergeyzh/rubert-tiny-turbo),100%,111,29M,312,2048,45.98,46.73,61.54,33.18,76.16,39.31,18.62,67,31.33
159,160,[lodestone-base-4096-v1](https://huggingface.co/Hum-Works/lodestone-base-4096-v1),100%,Unknown,Unknown,768,Unknown,,,50.9,,80.4,45.4,,,15.68
160,161,[inf-retriever-v1](https://huggingface.co/infly/inf-retriever-v1),80%,13483,7B,3584,32768,,,,,,,64.07,,
161,162,[inf-retriever-v1-1.5b](https://huggingface.co/infly/inf-retriever-v1-1.5b),80%,2944,1B,1536,32768,,,,,,,60.83,,
162,163,[rubert-tiny](https://huggingface.co/cointegrated/rubert-tiny),100%,45,11M,312,512,40.1,41.07,61.88,34.18,59.92,36.73,6.31,58.87,29.59
163,164,[Arabic-mpnet-base-all-nli-triplet](https://huggingface.co/Omartificial-Intelligence-Space/Arabic-mpnet-base-all-nli-triplet),100%,418,109M,768,514,41.46,42.8,58.4,31.61,70.09,36.55,7.02,66.29,29.6
164,165,[rubert-tiny2](https://huggingface.co/cointegrated/rubert-tiny2),100%,112,29M,312,2048,41.56,41.99,57.96,33.53,68.21,37.42,9.11,64.25,23.49
165,166,[Marbert-all-nli-triplet-Matryoshka](https://huggingface.co/Omartificial-Intelligence-Space/Marbert-all-nli-triplet-Matryoshka),100%,621,162M,768,512,39.77,41.46,61.41,29.55,67.95,37.45,4.68,60.99,28.21
166,167,[LLM2Vec-Sheared-LLaMA-mntp-unsup-simcse](https://huggingface.co/McGill-NLP/LLM2Vec-Sheared-LLaMA-mntp-unsup-simcse),100%,27126,7B,4096,32768,,,73.09,,72.21,41.11,,,
167,168,[silma-embeddding-matryoshka-v0.1](https://huggingface.co/silma-ai/silma-embeddding-matryoshka-v0.1),⚠️ NA,516,135M,768,512,40.09,41.23,57.08,31.5,68.99,37.61,7.54,61.46,24.45
168,169,[distilrubert-small-cased-conversational](https://huggingface.co/DeepPavlov/distilrubert-small-cased-conversational),100%,408,107M,768,512,36.61,37.59,58.94,30.61,49.12,35.21,7.08,51.74,30.4
169,170,[Arabert-all-nli-triplet-Matryoshka](https://huggingface.co/Omartificial-Intelligence-Space/Arabert-all-nli-triplet-Matryoshka),100%,516,135M,768,512,39.04,40.83,53.76,30.41,67.11,37.99,5.96,62.49,28.12
170,171,[sbert_large_mt_nlu_ru](https://huggingface.co/ai-forever/sbert_large_mt_nlu_ru),100%,1629,427M,1024,512,35.5,36.01,52.56,30.68,53.64,36.64,3.82,55.32,19.44
171,172,[rubert-base-cased-sentence](https://huggingface.co/DeepPavlov/rubert-base-cased-sentence),100%,408,107M,768,512,35.33,35.94,50.04,32.18,54.35,35.92,3.34,55.84,19.89
172,173,[sbert_large_nlu_ru](https://huggingface.co/ai-forever/sbert_large_nlu_ru),100%,1629,427M,1024,512,32.93,33.72,51.65,30.49,46.91,35.26,3.17,47.68,20.9
173,174,[rubert-base-cased](https://huggingface.co/DeepPavlov/rubert-base-cased),100%,4883,1B,768,512,30.79,32.18,51.97,31.41,39.88,37.26,2.37,39.38,23.02
174,175,[deberta-v1-base](https://huggingface.co/deepvk/deberta-v1-base),100%,473,124M,768,512,32.9,34.33,53.6,30.05,48.69,35.79,2.12,46.33,23.75
175,175,[MicroLlama-text-embedding](https://huggingface.co/keeeeenw/MicroLlama-text-embedding),100%,1037,272M,1024,2048,,,,,,,,,
176,177,[SONAR](https://ai.meta.com/research/publications/sonar-sentence-level-multimodal-and-language-agnostic-representations/),100%,Unknown,Unknown,1024,512,,,69.7,,71.51,38.88,,,
177,178,[ternary-weight-embedding](https://huggingface.co/malenia1/ternary-weight-embedding),⚠️ NA,158,98M,1024,512,,,,27.83,53.8,35.7,1.78,50.46,20.59
178,179,[cai-stellaris-text-embeddings](https://huggingface.co/consciousAI/cai-stellaris-text-embeddings),⚠️ NA,Unknown,Unknown,768,514,,,67.72,,82.11,45.66,,,
179,180,[MiniCPM-Embedding](https://huggingface.co/openbmb/MiniCPM-Embedding),⚠️ NA,5197,2B,2304,512,,,,,,,,,
180,181,[mxbai-embed-xsmall-v1](https://huggingface.co/mixedbread-ai/mxbai-embed-xsmall-v1),100%,Unknown,24M,384,512,,,,,,,,,
181,182,[e5-R-mistral-7b](https://huggingface.co/BeastyZ/e5-R-mistral-7b),95%,27625,7B,Unknown,32768,,,,,,,,,
182,183,[bm25s](https://github.com/xhluca/bm25s),⚠️ NA,Unknown,Unknown,Unknown,Unknown,,,,,,,,,
183,184,[pubmedbert-base-embeddings-2M](https://huggingface.co/NeuML/pubmedbert-base-embeddings-2M),100%,7,1M,64,Infinite,,,,,,,,,
184,185,[pubmedbert-base-embeddings-1M](https://huggingface.co/NeuML/pubmedbert-base-embeddings-1M),100%,2,1M,64,Infinite,,,,,,,,,
185,186,[pubmedbert-base-embeddings-8M](https://huggingface.co/NeuML/pubmedbert-base-embeddings-8M),100%,30,7M,256,Infinite,,,,,,,,,
186,187,[pubmedbert-base-embeddings-500K](https://huggingface.co/NeuML/pubmedbert-base-embeddings-500K),100%,2,500K,64,Infinite,,,,,,,,,
187,188,[pubmedbert-base-embeddings-100K](https://huggingface.co/NeuML/pubmedbert-base-embeddings-100K),100%,Unknown,100K,64,Infinite,,,,,,,,,
188,189,[Arabic-Triplet-Matryoshka-V2](https://huggingface.co/Omartificial-Intelligence-Space/Arabic-Triplet-Matryoshka-V2),100%,516,135M,768,768,,,,,,,,,
